input_cell_line_name,input_identifier,detected_type,status,SIDM,matched_on,source,CVCL,RRID,ACH,all_aliases
ML-2,SIDM00441,sidm,resolved,SIDM00441,sidm,sanger,,,,ML2; SIDM00441
MLMA,SIDM00561,sidm,resolved,SIDM00561,sidm,sanger,,,,MLMA; SIDM00561
MM1S,SIDM01265,sidm,resolved,SIDM01265,sidm,sanger,,,,MM1S; SIDM01265
MN-60,SIDM00438,sidm,resolved,SIDM00438,sidm,sanger,,,,MN60; SIDM00438
MOG-G-CCM,SIDM00532,sidm,resolved,SIDM00532,sidm,sanger,,,,MOGGCCM; SIDM00532
MOG-G-UVW,SIDM00504,sidm,resolved,SIDM00504,sidm,sanger,,,,MOGGUVW; SIDM00504
MOLM-13,SIDM00437,sidm,resolved,SIDM00437,sidm,sanger,,,,MOLM13; SIDM00437
MOLP-8,SIDM00434,sidm,resolved,SIDM00434,sidm,sanger,,,,MOLP8; SIDM00434
MOLT-13,SIDM00433,sidm,resolved,SIDM00433,sidm,sanger,,,,MOLT13; SIDM00433
MOLT-16,SIDM00431,sidm,resolved,SIDM00431,sidm,sanger,,,,MOLT16; SIDM00431
MOLT-4,SIDM00145,sidm,resolved,SIDM00145,sidm,sanger,,,,MOLT4; SIDM00145
MONO-MAC-6,SIDM01023,sidm,resolved,SIDM01023,sidm,sanger,,,,MONOMAC6; SIDM01023
Mo-T,SIDM00623,sidm,resolved,SIDM00623,sidm,sanger,,,,MOT; SIDM00623
MPP-89,SIDM00222,sidm,resolved,SIDM00222,sidm,sanger,,,,MPP89; SIDM00222
MRK-nu-1,SIDM00562,sidm,resolved,SIDM00562,sidm,sanger,,,,MRKNU1; SIDM00562
MS-1,SIDM00245,sidm,resolved,SIDM00245,sidm,sanger,,,,MS1; SIDM00245
MS751,SIDM00638,sidm,resolved,SIDM00638,sidm,sanger,,,,MS751; SIDM00638
MSTO-211H,SIDM00640,sidm,resolved,SIDM00640,sidm,sanger,,,,MSTO211H; SIDM00640
MV-4-11,SIDM00657,sidm,resolved,SIDM00657,sidm,sanger,,,,MV411; SIDM00657
NALM-6,SIDM00429,sidm,resolved,SIDM00429,sidm,sanger,,,,NALM6; SIDM00429
NAMALWA,SIDM00641,sidm,resolved,SIDM00641,sidm,sanger,,,,NAMALWA; SIDM00641
NB(TU)1-10,SIDM00579,sidm,resolved,SIDM00579,sidm,sanger,,,,NBTU110; SIDM00579
NB1,SIDM00578,sidm,resolved,SIDM00578,sidm,sanger,,,,NB1; SIDM00578
NB10,SIDM00259,sidm,resolved,SIDM00259,sidm,sanger,,,,NB10; SIDM00259
NB12,SIDM00258,sidm,resolved,SIDM00258,sidm,sanger,,,,NB12; SIDM00258
NB13,SIDM00257,sidm,resolved,SIDM00257,sidm,sanger,,,,NB13; SIDM00257
NB14,SIDM00256,sidm,resolved,SIDM00256,sidm,sanger,,,,NB14; SIDM00256
NB69,SIDM00244,sidm,resolved,SIDM00244,sidm,sanger,,,,NB69; SIDM00244
NB7,SIDM00156,sidm,resolved,SIDM00156,sidm,sanger,,,,NB7; SIDM00156
NCCIT,SIDM00655,sidm,resolved,SIDM00655,sidm,sanger,,,,NCCIT; SIDM00655
NCI-H1048,SIDM00654,sidm,resolved,SIDM00654,sidm,sanger,,,,NCIH1048; SIDM00654
NCI-H1092,SIDM00653,sidm,resolved,SIDM00653,sidm,sanger,,,,NCIH1092; SIDM00653
NCI-H1155,SIDM00651,sidm,resolved,SIDM00651,sidm,sanger,,,,NCIH1155; SIDM00651
NCI-H1299,SIDM00649,sidm,resolved,SIDM00649,sidm,sanger,,,,NCIH1299; SIDM00649
NCI-H1341,SIDM00646,sidm,resolved,SIDM00646,sidm,sanger,,,,NCIH1341; SIDM00646
NCI-H1355,SIDM00645,sidm,resolved,SIDM00645,sidm,sanger,,,,NCIH1355; SIDM00645
NCI-H1417,SIDM00642,sidm,resolved,SIDM00642,sidm,sanger,,,,NCIH1417; SIDM00642
