SIDM,cell_line_name,tissue
SIDM00769,NCI-H1838,Lung
SIDM00768,NCI-H1869,Lung
SIDM00766,NCI-H1876,Lung
SIDM00763,NCI-H1915,Lung
SIDM00762,NCI-H1944,Lung
SIDM00761,NCI-H196,Lung
SIDM00760,NCI-H1963,Lung
SIDM00759,NCI-H1975,Lung
SIDM00758,NCI-H1993,Lung
SIDM00756,NCI-H2009,Lung
SIDM00753,NCI-H2023,Lung
SIDM00735,NCI-H2029,Lung
SIDM00713,NCI-H2052,Lung
SIDM00711,NCI-H2066,Lung
SIDM00709,NCI-H2085,Lung
SIDM00708,NCI-H2087,Lung
SIDM00706,NCI-H209,Lung
SIDM00704,NCI-H211,Lung
SIDM00702,NCI-H2122,Lung
SIDM00699,NCI-H2141,Lung
SIDM00716,NCI-H2170,Lung
SIDM00729,NCI-H2228,Lung
SIDM00139,NCI-H226,Lung
SIDM00138,NCI-H23,Lung
SIDM00727,NCI-H2342,Lung
SIDM00726,NCI-H2347,Lung
SIDM00104,NCI-H2369,Lung
SIDM00103,NCI-H2373,Lung
SIDM00724,NCI-H2405,Lung
SIDM00722,NCI-H2452,Lung
SIDM00102,NCI-H2461,Lung
SIDM00101,NCI-H2591,Lung
SIDM00100,NCI-H2595,Lung
SIDM00099,NCI-H2722,Lung
SIDM00098,NCI-H2731,Lung
SIDM00154,NCI-H2795,Lung
SIDM00720,NCI-H28,Lung
SIDM00520,NCI-H2818,Lung
SIDM00517,NCI-H3118,Head
SIDM00137,NCI-H3122,Lung
SIDM00117,NCI-H322M,Lung
SIDM00719,NCI-H345,Lung
SIDM00718,NCI-H358,Lung
SIDM00925,NCI-H441,Lung
SIDM00965,NCI-H446,Lung
SIDM00114,NCI-H513,Lung
SIDM01130,NCI-H520,Lung
SIDM00116,NCI-H522,Lung
SIDM01129,NCI-H524,Lung
SIDM01128,NCI-H526,Lung
SIDM01127,NCI-H596,Lung
SIDM01126,NCI-H64,Lung
SIDM01124,NCI-H650,Lung
SIDM01122,NCI-H661,Lung
SIDM01121,NCI-H69,Lung
SIDM00779,NCI-H716,Colon
SIDM01120,NCI-H720,Lung
SIDM01119,NCI-H727,Lung
SIDM00778,NCI-H747,Colon
SIDM01116,NCI-H810,Lung
SIDM01131,NCI-H82,Lung
SIDM01133,NCI-H835,Lung
SIDM01134,NCI-H841,Lung
SIDM01149,NCI-H847,Lung
SIDM01147,NCI-N87,Stomach
SIDM00243,NEC8,Testis
SIDM00577,NH-12,PNS
SIDM00576,NKM-1,Lymphoid
SIDM00580,NOMO-1,Lymphoid
SIDM00242,NOS-1,Bone
SIDM00572,NUGC-3,Stomach
SIDM00570,NUGC-4,Stomach
SIDM00569,NY,Bone
SIDM00444,OACM5-1,Esophagus
SIDM00445,OACp4C,Esophagus
SIDM00481,OAW-28,Ovary
SIDM00480,OAW-42,Ovary
SIDM00220,OC-314,Ovary
SIDM00446,OCI-AML2,Lymphoid
SIDM00462,OCI-AML3,Lymphoid
SIDM00461,OCI-AML5,Lymphoid
SIDM00458,OCI-M1,Lymphoid
